country,country_name,quarter,gdp,consumption,investment,exports,imports,year,qtr,gdp_yoy_pct,consumption_yoy_pct,investment_yoy_pct,exports_yoy_pct,imports_yoy_pct
ARG,Argentina,1993-Q1,644193.6,,,,,1993,1,,,,,
ARG,Argentina,1993-Q2,662572.2,,,,,1993,2,,,,,
ARG,Argentina,1993-Q3,675891.5,,,,,1993,3,,,,,
ARG,Argentina,1993-Q4,681335.5,,,,,1993,4,,,,,
ARG,Argentina,1994-Q1,691019.6,,,,,1994,1,7.268932817711948,,,,
ARG,Argentina,1994-Q2,705311.7,,,,,1994,2,6.45054229561699,,,,
ARG,Argentina,1994-Q3,707091.8,,,,,1994,3,4.616169903009593,,,,
ARG,Argentina,1994-Q4,715866.3,,,,,1994,4,5.068105213951135,,,,
ARG,Argentina,1995-Q1,704819.7,,,,,1995,1,1.9970634696902856,,,,
ARG,Argentina,1995-Q2,678104.8,,,,,1995,2,-3.8574292755954476,,,,
ARG,Argentina,1995-Q3,675485.3,,,,,1995,3,-4.46992879849547,,,,
ARG,Argentina,1995-Q4,680664.9,,,,,1995,4,-4.917314867315314,,,,
ARG,Argentina,1996-Q1,699380.8,,,,,1996,1,-0.771672528449463,,,,
ARG,Argentina,1996-Q2,714968.4,,,,,1996,2,5.436268848119052,,,,
ARG,Argentina,1996-Q3,731388.9,,,,,1996,3,8.27606463086612,,,,
ARG,Argentina,1996-Q4,744716.8,,,,,1996,4,9.41019582470024,,,,
ARG,Argentina,1997-Q1,760357.3,,,,,1997,1,8.718640832004532,,,,
ARG,Argentina,1997-Q2,771667.8,,,,,1997,2,7.930336501585256,,,,
ARG,Argentina,1997-Q3,791092.3,,,,,1997,3,8.163016966760095,,,,
ARG,Argentina,1997-Q4,801783.6,,,,,1997,4,7.662886079647979,,,,
ARG,Argentina,1998-Q1,805932.2,,,,,1998,1,5.993879456408169,,,,
ARG,Argentina,1998-Q2,821724.5,,,,,1998,2,6.486819846571268,,,,
ARG,Argentina,1998-Q3,819221.4,,,,,1998,3,3.555729211370151,,,,
ARG,Argentina,1998-Q4,798337.3,,,,,1998,4,-0.4298291958079403,,,,
ARG,Argentina,1999-Q1,788391.1,,,,,1999,1,-2.1764982215625506,,,,
ARG,Argentina,1999-Q2,779483.1,,,,,1999,2,-5.140579354759412,,,,
ARG,Argentina,1999-Q3,777237.0,,,,,1999,3,-5.12491494973154,,,,
ARG,Argentina,1999-Q4,790238.7,,,,,1999,4,-1.014433372961543,,,,
ARG,Argentina,2000-Q1,787551.9,,,,,2000,1,-0.10644463135111026,,,,
ARG,Argentina,2000-Q2,774881.1,,,,,2000,2,-0.5903912477384088,,,,
ARG,Argentina,2000-Q3,772903.7,,,,,2000,3,-0.5575262114387303,,,,
ARG,Argentina,2000-Q4,775275.4,,,,,2000,4,-1.8935164779958158,,,,
ARG,Argentina,2001-Q1,776544.1,,,,,2001,1,-1.3977237563645106,,,,
ARG,Argentina,2001-Q2,770100.2,,,,,2001,2,-0.6169849800182314,,,,
ARG,Argentina,2001-Q3,734322.3,,,,,2001,3,-4.991747354812759,,,,
ARG,Argentina,2001-Q4,692503.6,,,,,2001,4,-10.676438334042338,,,,
ARG,Argentina,2002-Q1,658356.1,,,,,2002,1,-15.219740900742151,,,,
ARG,Argentina,2002-Q2,661147.4,,,,,2002,2,-14.147873224808915,,,,
ARG,Argentina,2002-Q3,661640.0,,,,,2002,3,-9.897874543643848,,,,
ARG,Argentina,2002-Q4,668382.4,,,,,2002,4,-3.4831876686272745,,,,
ARG,Argentina,2003-Q1,693079.3,,,,,2003,1,5.274227731770087,,,,
ARG,Argentina,2003-Q2,715010.6,,,,,2003,2,8.146927598898523,,,,
ARG,Argentina,2003-Q3,732482.8,,,,,2003,3,10.70715192551841,,,,
ARG,Argentina,2003-Q4,746227.9,,,,,2003,4,11.646850665128227,,,,
ARG,Argentina,2004-Q1,771366.8,282477.7,103872.0,139912.6,76147.9,2004,1,11.295604990655473,,,,
ARG,Argentina,2004-Q2,761542.3,283834.35000000003,107177.0,144501.5,80021.9,2004,2,6.507833590159362,,,,
ARG,Argentina,2004-Q3,800231.3,295044.3,108487.4,147987.0,81723.6,2004,3,9.249159161143439,,,,
ARG,Argentina,2004-Q4,810907.8,301853.35,110475.1,151372.6,86516.2,2004,4,8.667579971212547,,,,
