country_code,country_name,year,population_million,population,unit_measure,source
AUT,Austria,1960,7047539,7047539000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1961,7086299,7086299000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1962,7129864,7129864000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1963,7175811,7175811000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1964,7223801,7223801000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1965,7270889,7270889000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1966,7322066,7322066000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1967,7376998,7376998000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1968,7415403,7415403000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1969,7441055,7441055000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1970,7467086,7467086000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1971,7500482,7500482000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1972,7544201,7544201000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1973,7586115,7586115000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1974,7599038,7599038000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1975,7578903,7578903000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1976,7565525,7565525000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1977,7568430,7568430000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1978,7562305,7562305000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1979,7549425,7549425000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1980,7549433,7549433000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1981,7568710,7568710000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
AUT,Austria,1982,7574140,7574140000000,PS,OECD.ELS.SAE:DSD_POPULATION@DF_POP_HIST
