country,quarter,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,population,host,rank1,rank2,rank3,rank4,host_won,host_top4
ARG,1993-Q1,644193.6,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0
ARG,1993-Q2,662572.2,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0
ARG,1993-Q3,675891.5,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0
ARG,1993-Q4,681335.5,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0
ARG,1994-Q1,691019.6,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0
ARG,1994-Q2,705311.7,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0
ARG,1994-Q3,707091.8,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0
ARG,1994-Q4,715866.3,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0
ARG,1995-Q1,704819.7,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0
ARG,1995-Q2,678104.8,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0
ARG,1995-Q3,675485.3,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0
ARG,1995-Q4,680664.9,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0
ARG,1996-Q1,699380.8,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0
ARG,1996-Q2,714968.4,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0
ARG,1996-Q3,731388.9,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0
ARG,1996-Q4,744716.8,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0
ARG,1997-Q1,760357.3,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0
ARG,1997-Q2,771667.8,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0
ARG,1997-Q3,791092.3,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0
ARG,1997-Q4,801783.6,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0
ARG,1998-Q1,805932.2,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0
ARG,1998-Q2,821724.5,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0
ARG,1998-Q3,819221.4,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0
ARG,1998-Q4,798337.3,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0
ARG,1999-Q1,788391.1,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0
ARG,1999-Q2,779483.1,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0
ARG,1999-Q3,777237,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0
ARG,1999-Q4,790238.7,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0
ARG,2000-Q1,787551.9,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0
ARG,2000-Q2,774881.1,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0
ARG,2000-Q3,772903.7,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0
ARG,2000-Q4,775275.4,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0
ARG,2001-Q1,776544.1,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0
ARG,2001-Q2,770100.2,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0
ARG,2001-Q3,734322.3,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0
ARG,2001-Q4,692503.6,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0
ARG,2002-Q1,658356.1,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0
ARG,2002-Q2,661147.4,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0
ARG,2002-Q3,661640,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0
ARG,2002-Q4,668382.4,NA,NA,NA,NA,38029349,0,0,0,0,0,0,0
ARG,2003-Q1,693079.3,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0
ARG,2003-Q2,715010.6,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0
ARG,2003-Q3,732482.8,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0
ARG,2003-Q4,746227.9,NA,NA,NA,NA,38424282,0,0,0,0,0,0,0
ARG,2004-Q1,771366.8,564955.4,103872,139912.6,76147.9,38815916,0,0,0,0,0,0,0
ARG,2004-Q2,761542.3,567668.7000000001,107177,144501.5,80021.9,38815916,0,0,0,0,0,0,0
ARG,2004-Q3,800231.3,590088.6,108487.4,147987,81723.6,38815916,0,0,0,0,0,0,0
ARG,2004-Q4,810907.8,603706.7,110475.1,151372.6,86516.2,38815916,0,0,0,0,0,0,0
ARG,2005-Q1,834406,599099.7,118762,162721,88350.6,39216789,0,0,0,0,0,0,0
ARG,2005-Q2,853980.9,644293.4,122688.9,167055.1,97632.5,39216789,0,0,0,0,0,0,0
ARG,2005-Q3,858904.4,622430.4,123023.7,167255.4,92345.7,39216789,0,0,0,0,0,0,0
ARG,2005-Q4,875057.4,642778.9,133600.6,161971.9,97493.9,39216789,0,0,0,0,0,0,0
ARG,2006-Q1,898432.4,657748.3999999999,135873.4,172524.4,100480.1,39622115,0,0,0,0,0,0,0
ARG,2006-Q2,909242.1,686284,140460.2,170397.2,102703.4,39622115,0,0,0,0,0,0,0
ARG,2006-Q3,935010.6,702249.1,144903.4,171923.8,104169,39622115,0,0,0,0,0,0,0
ARG,2006-Q4,955065.2,704255.2999999999,148923.8,180806.5,109780.1,39622115,0,0,0,0,0,0,0
ARG,2007-Q1,977885.3,727073.7999999999,162108.9,180198.4,117040.8,40016763,0,0,0,0,0,0,0
ARG,2007-Q2,998201.8,742911.1000000001,169416.4,181807.9,119914.2,40016763,0,0,0,0,0,0,0
ARG,2007-Q3,1011724.4,758659.2,175195.2,189904.6,128448.9,40016763,0,0,0,0,0,0,0
ARG,2007-Q4,1043019.3,771639,180056.4,200537.3,133654.7,40016763,0,0,0,0,0,0,0
ARG,2008-Q1,1053422.2,799424.1000000001,193875.7,193644.5,144619.4,40424148,0,0,0,0,0,0,0
ARG,2008-Q2,1058628.4,812986.3,198354.9,174476.8,149943.1,40424148,0,0,0,0,0,0,0
ARG,2008-Q3,1065591.8,801873.2,187151.8,207814.9,143127.2,40424148,0,0,0,0,0,0,0
ARG,2008-Q4,1016728.5,792013.2,167112.7,182079.1,129052.3,40424148,0,0,0,0,0,0,0
ARG,2009-Q1,980230.6,764508.6000000001,144605.2,180484.8,113995.5,40854831,0,0,0,0,0,0,0
ARG,2009-Q2,956796.1,739970.4,136542.3,172372.5,107263.8,40854831,0,0,0,0,0,0,0
ARG,2009-Q3,994489,797150.6,144145.2,160647.7,115069.3,40854831,0,0,0,0,0,0,0
ARG,2009-Q4,1014610.3,790559.6,152697.2,173657.8,126039.7,40854831,0,0,0,0,0,0,0
ARG,2010-Q1,1045985.7,821693.3,164958.5,178892.7,138157.6,41288694,0,0,0,0,0,0,0
ARG,2010-Q2,1092263.9,850055.8,179906.2,205083.6,155050.5,41288694,0,0,0,0,0,0,0
ARG,2010-Q3,1096895,855197.3,186518.6,204890.7,160614.2,41288694,0,0,0,0,0,0,0
ARG,2010-Q4,1110542.4,878821,198355.5,193790.1,171320,41288694,0,0,0,0,0,0,0
ARG,2011-Q1,1136967.8,900964.8,209003.3,199032.8,180960.3,41730660,0,0,0,0,0,0,0
ARG,2011-Q2,1150885.9,916047.7,213821.3,199141.4,189993.2,41730660,0,0,0,0,0,0,0
ARG,2011-Q3,1159923.1,939463.5,220094.7,207962.4,197971.5,41730660,0,0,0,0,0,0,0
ARG,2011-Q4,1158823.1,939770.5,213633.2,208991.6,193927.5,41730660,0,0,0,0,0,0,0
