country,quarter,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,population,host,rank1,rank2,rank3,rank4,host_won,host_top4,year,qtr,q_index,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_log_4q,population_yoy_log_4q,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted_yoy_pct,population_yoy_pct
ARG,1993-Q1,644193.6,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0,1993,1,7973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,1993-Q2,662572.2,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0,1993,2,7974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,1993-Q3,675891.5,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0,1993,3,7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,1993-Q4,681335.5,NA,NA,NA,NA,34152717,0,0,0,0,0,0,0,1993,4,7976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ARG,1994-Q1,691019.6,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,1,7977,7.0168886009366105,NA,NA,NA,NA,1.3401375748685496,7.268932817711948,NA,NA,NA,NA,1.349157667309453
ARG,1994-Q2,705311.7,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,2,7978,6.251029970776756,NA,NA,NA,NA,1.3401375748685496,6.45054229561699,NA,NA,NA,NA,1.349157667309453
ARG,1994-Q3,707091.8,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,3,7979,4.512794167812295,NA,NA,NA,NA,1.3401375748685496,4.616169903009593,NA,NA,NA,NA,1.349157667309453
ARG,1994-Q4,715866.3,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,4,7980,4.943857499094229,NA,NA,NA,NA,1.3401375748685496,5.068105213951135,NA,NA,NA,NA,1.349157667309453
ARG,1995-Q1,704819.7,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,1,7981,1.9773837368912697,NA,NA,NA,NA,1.3103115077878869,1.9970634696902856,NA,NA,NA,NA,1.3189337070912632
ARG,1995-Q2,678104.8,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,2,7982,-3.933798449548931,NA,NA,NA,NA,1.3103115077878869,-3.857429275595448,NA,NA,NA,NA,1.3189337070912632
ARG,1995-Q3,675485.3,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,3,7983,-4.5729106375095085,NA,NA,NA,NA,1.3103115077878869,-4.46992879849547,NA,NA,NA,NA,1.3189337070912632
ARG,1995-Q4,680664.9,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,4,7984,-5.042330312199006,NA,NA,NA,NA,1.3103115077878869,-4.917314867315314,NA,NA,NA,NA,1.3189337070912632
ARG,1996-Q1,699380.8,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,1,7985,-0.7746653272510784,NA,NA,NA,NA,1.257452179245888,-0.771672528449463,NA,NA,NA,NA,1.2653913513593684
ARG,1996-Q2,714968.4,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,2,7986,5.293649764642971,NA,NA,NA,NA,1.257452179245888,5.436268848119052,NA,NA,NA,NA,1.2653913513593684
ARG,1996-Q3,731388.9,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,3,7987,7.9513933720607,NA,NA,NA,NA,1.257452179245888,8.27606463086612,NA,NA,NA,NA,1.2653913513593684
ARG,1996-Q4,744716.8,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,4,7988,8.993389732352064,NA,NA,NA,NA,1.257452179245888,9.41019582470024,NA,NA,NA,NA,1.2653913513593684
ARG,1997-Q1,760357.3,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,1,7989,8.35930822314399,NA,NA,NA,NA,1.214647959335835,8.718640832004532,NA,NA,NA,NA,1.2220547661580428
ARG,1997-Q2,771667.8,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,2,7990,7.631580062050247,NA,NA,NA,NA,1.214647959335835,7.930336501585256,NA,NA,NA,NA,1.2220547661580428
ARG,1997-Q3,791092.3,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,3,7991,7.846931947116964,NA,NA,NA,NA,1.214647959335835,8.163016966760095,NA,NA,NA,NA,1.2220547661580428
ARG,1997-Q4,801783.6,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,4,7992,7.3834734138632285,NA,NA,NA,NA,1.214647959335835,7.662886079647979,NA,NA,NA,NA,1.2220547661580428
ARG,1998-Q1,805932.2,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,1,7993,5.821116547961935,NA,NA,NA,NA,1.1755256320153509,5.993879456408169,NA,NA,NA,NA,1.1824620878651435
ARG,1998-Q2,821724.5,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,2,7994,6.285103419363125,NA,NA,NA,NA,1.1755256320153509,6.486819846571268,NA,NA,NA,NA,1.1824620878651435
ARG,1998-Q3,819221.4,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,3,7995,3.4939728293707617,NA,NA,NA,NA,1.1755256320153509,3.555729211370151,NA,NA,NA,NA,1.1824620878651435
ARG,1998-Q4,798337.3,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,4,7996,-0.43075561713497024,NA,NA,NA,NA,1.1755256320153509,-0.4298291958079403,NA,NA,NA,NA,1.1824620878651435
ARG,1999-Q1,788391.1,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,1,7997,-2.20053333328174,NA,NA,NA,NA,1.1530431716728629,-2.1764982215625506,NA,NA,NA,NA,1.159716337950889
ARG,1999-Q2,779483.1,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,2,7998,-5.277417302894349,NA,NA,NA,NA,1.1530431716728629,-5.140579354759412,NA,NA,NA,NA,1.159716337950889
ARG,1999-Q3,777237,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,3,7999,-5.260905382718306,NA,NA,NA,NA,1.1530431716728629,-5.12491494973154,NA,NA,NA,NA,1.159716337950889
ARG,1999-Q4,790238.7,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,4,8000,-1.0196138128213406,NA,NA,NA,NA,1.1530431716728629,-1.014433372961543,NA,NA,NA,NA,1.159716337950889
ARG,2000-Q1,787551.9,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,1,8001,-0.1065013238831014,NA,NA,NA,NA,1.1331280757019613,-0.10644463135111026,NA,NA,NA,NA,1.1395722892781013
ARG,2000-Q2,774881.1,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,2,8002,-0.5921409469783256,NA,NA,NA,NA,1.1331280757019613,-0.5903912477384088,NA,NA,NA,NA,1.1395722892781013
ARG,2000-Q3,772903.7,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,3,8003,-0.5590861897147192,NA,NA,NA,NA,1.1331280757019613,-0.5575262114387303,NA,NA,NA,NA,1.1395722892781013
ARG,2000-Q4,775275.4,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,4,8004,-1.911673065263031,NA,NA,NA,NA,1.1331280757019613,-1.893516477995816,NA,NA,NA,NA,1.1395722892781013
ARG,2001-Q1,776544.1,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,1,8005,-1.407583901072229,NA,NA,NA,NA,1.0979467275792132,-1.3977237563645106,NA,NA,NA,NA,1.1039962826877137
