entity_code,entity_name,entity_type,WC_1930_host,WC_1930_rank1,WC_1930_rank2,WC_1930_rank3,WC_1930_rank4,WC_1934_host,WC_1934_rank1,WC_1934_rank2,WC_1934_rank3,WC_1934_rank4,WC_1938_host,WC_1938_rank1,WC_1938_rank2,WC_1938_rank3,WC_1938_rank4,WC_1950_host,WC_1950_rank1,WC_1950_rank2,WC_1950_rank3,WC_1950_rank4,WC_1954_host,WC_1954_rank1,WC_1954_rank2,WC_1954_rank3,WC_1954_rank4,WC_1958_host,WC_1958_rank1,WC_1958_rank2,WC_1958_rank3,WC_1958_rank4,WC_1962_host,WC_1962_rank1,WC_1962_rank2,WC_1962_rank3,WC_1962_rank4,WC_1966_host,WC_1966_rank1,WC_1966_rank2,WC_1966_rank3,WC_1966_rank4,WC_1970_host,WC_1970_rank1,WC_1970_rank2,WC_1970_rank3,WC_1970_rank4,WC_1974_host,WC_1974_rank1,WC_1974_rank2,WC_1974_rank3,WC_1974_rank4,WC_1978_host,WC_1978_rank1,WC_1978_rank2,WC_1978_rank3,WC_1978_rank4,WC_1982_host,WC_1982_rank1,WC_1982_rank2,WC_1982_rank3,WC_1982_rank4,WC_1986_host,WC_1986_rank1,WC_1986_rank2,WC_1986_rank3,WC_1986_rank4,WC_1990_host,WC_1990_rank1,WC_1990_rank2,WC_1990_rank3,WC_1990_rank4,WC_1994_host,WC_1994_rank1,WC_1994_rank2,WC_1994_rank3,WC_1994_rank4,WC_1998_host,WC_1998_rank1,WC_1998_rank2,WC_1998_rank3,WC_1998_rank4,WC_2002_host,WC_2002_rank1,WC_2002_rank2,WC_2002_rank3,WC_2002_rank4,WC_2006_host,WC_2006_rank1,WC_2006_rank2,WC_2006_rank3,WC_2006_rank4,WC_2010_host,WC_2010_rank1,WC_2010_rank2,WC_2010_rank3,WC_2010_rank4,WC_2014_host,WC_2014_rank1,WC_2014_rank2,WC_2014_rank3,WC_2014_rank4,WC_2018_host,WC_2018_rank1,WC_2018_rank2,WC_2018_rank3,WC_2018_rank4,WC_2022_host,WC_2022_rank1,WC_2022_rank2,WC_2022_rank3,WC_2022_rank4,WC_1930_host_won,WC_1930_host_top4,WC_1934_host_won,WC_1934_host_top4,WC_1938_host_won,WC_1938_host_top4,WC_1950_host_won,WC_1950_host_top4,WC_1954_host_won,WC_1954_host_top4,WC_1958_host_won,WC_1958_host_top4,WC_1962_host_won,WC_1962_host_top4,WC_1966_host_won,WC_1966_host_top4,WC_1970_host_won,WC_1970_host_top4,WC_1974_host_won,WC_1974_host_top4,WC_1978_host_won,WC_1978_host_top4,WC_1982_host_won,WC_1982_host_top4,WC_1986_host_won,WC_1986_host_top4,WC_1990_host_won,WC_1990_host_top4,WC_1994_host_won,WC_1994_host_top4,WC_1998_host_won,WC_1998_host_top4,WC_2002_host_won,WC_2002_host_top4,WC_2006_host_won,WC_2006_host_top4,WC_2010_host_won,WC_2010_host_top4,WC_2014_host_won,WC_2014_host_top4,WC_2018_host_won,WC_2018_host_top4,WC_2022_host_won,WC_2022_host_top4
ARG,Argentina,country,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUS,Australia,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AUT,Austria,country,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BEL,Belgium,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BGR,Bulgaria,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BRA,Brazil,country,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CAN,Canada,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHE,Switzerland,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CHL,Chile,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
COL,Colombia,country,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
