quarter,rel_time,actual_yoy,es_coef,es_se,counterfactual_yoy,predicted_effect
2018-Q1,-19,2.712045422046039,-0.3,0.5,2.712045422046039,0.0
2018-Q2,-18,-2.525424070868276,-0.3,0.5,-2.525424070868276,0.0
2018-Q3,-17,-4.056086751516375,-0.3,0.5,-4.056086751516375,0.0
2018-Q4,-16,-6.443500942335989,-0.3,0.5,-6.443500942335989,0.0
2019-Q1,-15,-5.588991537746535,-0.15,0.48,-5.588991537746535,0.0
2019-Q2,-14,-0.945334876431636,0.1,0.47,-0.945334876431636,0.0
2019-Q3,-13,-0.7245151911310588,-0.05,0.46,-0.7245151911310588,0.0
2019-Q4,-12,-0.5578978455659356,0.08,0.45,-0.5578978455659356,0.0
2020-Q1,-11,-5.2877716740383445,-0.12,0.45,-5.2877716740383445,0.0
2020-Q2,-10,-19.12645837960931,0.05,0.44,-19.12645837960931,0.0
2020-Q3,-9,-10.40047544382291,-0.08,0.44,-10.40047544382291,0.0
2020-Q4,-8,-4.68610802025723,0.02,0.43,-4.68610802025723,0.0
2021-Q1,-7,3.169498814320804,-0.05,0.43,3.169498814320804,0.0
2021-Q2,-6,20.50700681473019,0.1,0.42,20.50700681473019,0.0
2021-Q3,-5,11.083661705626024,-0.03,0.42,11.083661705626024,0.0
2021-Q4,-4,8.456831722870216,0.07,0.41,8.456831722870216,0.0
2022-Q1,-3,7.377878248742009,-0.1,0.41,7.377878248742009,0.0
2022-Q2,-2,9.14375281943649,0.05,0.4,9.14375281943649,0.0
2022-Q3,-1,6.105397639154586,-0.02,0.4,6.105397639154586,0.0
2022-Q4,0,1.655002562491492,0.0,0.0,1.655002562491492,0.0
2023-Q1,1,0.1641630312118502,0.35,0.42,-0.1858369687881498,0.35
2023-Q2,2,-4.134170536449677,0.45,0.44,-4.584170536449677,0.45
2023-Q3,3,-1.4955229655480018,0.3,0.45,-1.7955229655480018,0.3
2023-Q4,4,-1.918173684399616,0.25,0.46,-2.168173684399616,0.25
2024-Q1,5,-4.400226670717899,0.2,0.47,-4.600226670717899,0.2
2024-Q2,6,-2.812406306682824,0.15,0.48,-2.962406306682824,0.15
2024-Q3,7,-1.1870651815684918,0.1,0.49,-1.287065181568492,0.1
2024-Q4,8,3.119788945450241,0.05,0.5,3.069788945450241,0.05
