"country","quarter","gdp","private_consumption","government_consumption","capital_formation","exports","imports","population","host","rank1","rank2","rank3","rank4","host_won","host_top4","year","qtr","q_index","gdp_yoy_log_4q","private_consumption_yoy_log_4q","government_consumption_yoy_log_4q","capital_formation_yoy_log_4q","exports_yoy_log_4q","imports_yoy_log_4q","population_yoy_log_4q","gdp_yoy_pct","private_consumption_yoy_pct","government_consumption_yoy_pct","capital_formation_yoy_pct","exports_yoy_pct","imports_yoy_pct","population_yoy_pct","tq","winner","ln_gdp_l4","ln_private_consumption_l4","ln_government_consumption_l4","ln_capital_formation_l4","ln_exports_l4","ln_imports_l4"
"ARG","1994-Q1",691019.6,NA,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,1,7977,7.01688860093661,NA,NA,NA,NA,NA,1.34013757486855,7.26893281771195,NA,NA,NA,NA,NA,1.34915766730945,7977,0,13.375754581027,NA,NA,NA,NA,NA
"ARG","1994-Q2",705311.7,NA,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,2,7978,6.25102997077676,NA,NA,NA,NA,NA,1.34013757486855,6.45054229561699,NA,NA,NA,NA,NA,1.34915766730945,7978,0,13.4038848120366,NA,NA,NA,NA,NA
"ARG","1994-Q3",707091.8,NA,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,3,7979,4.5127941678123,NA,NA,NA,NA,NA,1.34013757486855,4.61616990300959,NA,NA,NA,NA,NA,1.34915766730945,7979,0,13.4237878391845,NA,NA,NA,NA,NA
"ARG","1994-Q4",715866.3,NA,NA,NA,NA,NA,34613491,0,0,0,0,0,0,0,1994,4,7980,4.94385749909423,NA,NA,NA,NA,NA,1.34013757486855,5.06810521395114,NA,NA,NA,NA,NA,1.34915766730945,7980,0,13.4318101216717,NA,NA,NA,NA,NA
"ARG","1995-Q1",704819.7,NA,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,1,7981,1.97738373689127,NA,NA,NA,NA,NA,1.31031150778789,1.99706346969029,NA,NA,NA,NA,NA,1.31893370709126,7981,0,13.4459234670364,NA,NA,NA,NA,NA
"ARG","1995-Q2",678104.8,NA,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,2,7982,-3.93379844954893,NA,NA,NA,NA,NA,1.31031150778789,-3.85742927559545,NA,NA,NA,NA,NA,1.31893370709126,7982,0,13.4663951117443,NA,NA,NA,NA,NA
"ARG","1995-Q3",675485.3,NA,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,3,7983,-4.57291063750951,NA,NA,NA,NA,NA,1.31031150778789,-4.46992879849547,NA,NA,NA,NA,NA,1.31893370709126,7983,0,13.4689157808627,NA,NA,NA,NA,NA
"ARG","1995-Q4",680664.9,NA,NA,NA,NA,NA,35070020,0,0,0,0,0,0,0,1995,4,7984,-5.04233031219901,NA,NA,NA,NA,NA,1.31031150778789,-4.91731486731531,NA,NA,NA,NA,NA,1.31893370709126,7984,0,13.4812486966626,NA,NA,NA,NA,NA
"ARG","1996-Q1",699380.8,NA,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,1,7985,-0.774665327251078,NA,NA,NA,NA,NA,1.25745217924589,-0.771672528449463,NA,NA,NA,NA,NA,1.26539135135937,7985,0,13.4656973044053,NA,NA,NA,NA,NA
"ARG","1996-Q2",714968.4,NA,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,2,7986,5.29364976464297,NA,NA,NA,NA,NA,1.25745217924589,5.43626884811905,NA,NA,NA,NA,NA,1.26539135135937,7986,0,13.4270571272489,NA,NA,NA,NA,NA
"ARG","1996-Q3",731388.9,NA,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,3,7987,7.9513933720607,NA,NA,NA,NA,NA,1.25745217924589,8.27606463086612,NA,NA,NA,NA,NA,1.26539135135937,7987,0,13.4231866744876,NA,NA,NA,NA,NA
"ARG","1996-Q4",744716.8,NA,NA,NA,NA,NA,35513793,0,0,0,0,0,0,0,1996,4,7988,8.99338973235206,NA,NA,NA,NA,NA,1.25745217924589,9.41019582470024,NA,NA,NA,NA,NA,1.26539135135937,7988,0,13.4308253935407,NA,NA,NA,NA,NA
"ARG","1997-Q1",760357.3,NA,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,1,7989,8.35930822314399,NA,NA,NA,NA,NA,1.21464795933584,8.71864083200453,NA,NA,NA,NA,NA,1.22205476615804,7989,0,13.4579506511328,NA,NA,NA,NA,NA
"ARG","1997-Q2",771667.8,NA,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,2,7990,7.63158006205025,NA,NA,NA,NA,NA,1.21464795933584,7.93033650158526,NA,NA,NA,NA,NA,1.22205476615804,7990,0,13.4799936248953,NA,NA,NA,NA,NA
"ARG","1997-Q3",791092.3,NA,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,3,7991,7.84693194711696,NA,NA,NA,NA,NA,1.21464795933584,8.16301696676009,NA,NA,NA,NA,NA,1.22205476615804,7991,0,13.5027006082082,NA,NA,NA,NA,NA
"ARG","1997-Q4",801783.6,NA,NA,NA,NA,NA,35947791,0,0,0,0,0,0,0,1997,4,7992,7.38347341386323,NA,NA,NA,NA,NA,1.21464795933584,7.66288607964798,NA,NA,NA,NA,NA,1.22205476615804,7992,0,13.5207592908642,NA,NA,NA,NA,NA
"ARG","1998-Q1",805932.2,NA,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,1,7993,5.82111654796194,NA,NA,NA,NA,NA,1.17552563201535,5.99387945640817,NA,NA,NA,NA,NA,1.18246208786514,7993,0,13.5415437333642,NA,NA,NA,NA,NA
"ARG","1998-Q2",821724.5,NA,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,2,7994,6.28510341936312,NA,NA,NA,NA,NA,1.17552563201535,6.48681984657127,NA,NA,NA,NA,NA,1.18246208786514,7994,0,13.5563094255158,NA,NA,NA,NA,NA
"ARG","1998-Q3",819221.4,NA,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,3,7995,3.49397282937076,NA,NA,NA,NA,NA,1.17552563201535,3.55572921137015,NA,NA,NA,NA,NA,1.18246208786514,7995,0,13.5811699276793,NA,NA,NA,NA,NA
"ARG","1998-Q4",798337.3,NA,NA,NA,NA,NA,36372860,0,0,0,0,0,0,0,1998,4,7996,-0.43075561713497,NA,NA,NA,NA,NA,1.17552563201535,-0.42982919580794,NA,NA,NA,NA,NA,1.18246208786514,7996,0,13.5945940250028,NA,NA,NA,NA,NA
"ARG","1999-Q1",788391.1,NA,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,1,7997,-2.20053333328174,NA,NA,NA,NA,NA,1.15304317167286,-2.17649822156255,NA,NA,NA,NA,NA,1.15971633795089,7997,0,13.5997548988439,NA,NA,NA,NA,NA
"ARG","1999-Q2",779483.1,NA,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,2,7998,-5.27741730289435,NA,NA,NA,NA,NA,1.15304317167286,-5.14057935475941,NA,NA,NA,NA,NA,1.15971633795089,7998,0,13.6191604597094,NA,NA,NA,NA,NA
"ARG","1999-Q3",777237,NA,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,3,7999,-5.26090538271831,NA,NA,NA,NA,NA,1.15304317167286,-5.12491494973154,NA,NA,NA,NA,NA,1.15971633795089,7999,0,13.6161096559731,NA,NA,NA,NA,NA
"ARG","1999-Q4",790238.7,NA,NA,NA,NA,NA,36794682,0,0,0,0,0,0,0,1999,4,8000,-1.01961381282134,NA,NA,NA,NA,NA,1.15304317167286,-1.01443337296154,NA,NA,NA,NA,NA,1.15971633795089,8000,0,13.5902864688315,NA,NA,NA,NA,NA
"ARG","2000-Q1",787551.9,NA,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,1,8001,-0.106501323883101,NA,NA,NA,NA,NA,1.13312807570196,-0.10644463135111,NA,NA,NA,NA,NA,1.1395722892781,8001,0,13.577749565511,NA,NA,NA,NA,NA
"ARG","2000-Q2",774881.1,NA,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,2,8002,-0.592140946978326,NA,NA,NA,NA,NA,1.13312807570196,-0.590391247738409,NA,NA,NA,NA,NA,1.1395722892781,8002,0,13.5663862866805,NA,NA,NA,NA,NA
"ARG","2000-Q3",772903.7,NA,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,3,8003,-0.559086189714719,NA,NA,NA,NA,NA,1.13312807570196,-0.55752621143873,NA,NA,NA,NA,NA,1.1395722892781,8003,0,13.5635006021459,NA,NA,NA,NA,NA
"ARG","2000-Q4",775275.4,NA,NA,NA,NA,NA,37213984,0,0,0,0,0,0,0,2000,4,8004,-1.91167306526303,NA,NA,NA,NA,NA,1.13312807570196,-1.89351647799582,NA,NA,NA,NA,NA,1.1395722892781,8004,0,13.5800903307032,NA,NA,NA,NA,NA
"ARG","2001-Q1",776544.1,NA,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,1,8005,-1.40758390107223,NA,NA,NA,NA,NA,1.09794672757921,-1.39772375636451,NA,NA,NA,NA,NA,1.10399628268771,8005,0,13.5766845522722,NA,NA,NA,NA,NA
"ARG","2001-Q2",770100.2,NA,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,2,8006,-0.618896197685359,NA,NA,NA,NA,NA,1.09794672757921,-0.616984980018231,NA,NA,NA,NA,NA,1.10399628268771,8006,0,13.5604648772107,NA,NA,NA,NA,NA
"ARG","2001-Q3",734322.3,NA,NA,NA,NA,NA,37624825,0,0,0,0,0,0,0,2001,3,8007,-5.12064282111862,NA,NA,NA,NA,NA,1.09794672757921,-4.99174735481276,NA,NA,NA,NA,NA,1.10399628268771,8007,0,13.5579097402487,NA,NA,NA,NA,NA
