country,gross_domestic_product_chain_linked_volume_rebased_us_dollars_ppp_converted,final_consumption_expenditure_chain_linked_volume_rebased_us_dollars_ppp_converted,gross_fixed_capital_formation_chain_linked_volume_rebased_us_dollars_ppp_converted,exports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted,imports_of_goods_and_services_chain_linked_volume_rebased_us_dollars_ppp_converted
ARG,1993-Q1-2024-Q4,2004-Q1-2024-Q4,2004-Q1-2024-Q4,2004-Q1-2024-Q4,2004-Q1-2024-Q4
AUS,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
AUT,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
BEL,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
BGR,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4
BRA,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4
CAN,1961-Q1-2024-Q4,1960-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4
CHE,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
CHL,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4,1996-Q1-2024-Q4
COL,1994-Q1-2024-Q4,1994-Q1-2024-Q4,1994-Q1-2024-Q4,1994-Q1-2024-Q4,1994-Q1-2024-Q4
CRI,1991-Q1-2024-Q4,1991-Q1-2024-Q4,1991-Q1-2024-Q4,1991-Q1-2024-Q4,1991-Q1-2024-Q4
CZE,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
DEU,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
DNK,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
EA20,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
ESP,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
EST,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
EU15,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4
EU27_2020,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
FIN,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
FRA,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
G20,1998-Q1-2024-Q4,NA,NA,NA,NA
G7,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4
GBR,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
GRC,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
HRV,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
HUN,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
IDN,1990-Q1-2024-Q4,1990-Q1-2024-Q4,1990-Q1-2024-Q4,1990-Q1-2024-Q4,1990-Q1-2024-Q4
IND,1996-Q2-2024-Q4,1996-Q2-2024-Q4,1996-Q2-2024-Q4,1996-Q2-2024-Q4,1996-Q2-2024-Q4
IRL,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
ISL,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
ISR,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
ITA,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
JPN,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
KOR,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
LTU,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
LUX,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
LVA,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
MEX,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
NLD,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
NOR,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
NZL,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
OECD,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4
OECD26,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4
OECDE,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4,1961-Q1-2024-Q4
POL,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
PRT,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
ROU,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
RUS,1995-Q1-2021-Q3,1995-Q1-2021-Q3,1995-Q1-2021-Q3,1995-Q1-2021-Q3,1995-Q1-2021-Q3
SAU,2010-Q1-2024-Q4,2010-Q1-2024-Q4,2010-Q1-2024-Q4,2010-Q1-2024-Q4,2010-Q1-2024-Q4
SVK,1993-Q1-2024-Q4,1993-Q1-2024-Q4,1993-Q1-2024-Q4,1993-Q1-2024-Q4,1993-Q1-2024-Q4
SVN,1996-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4,1995-Q1-2024-Q4
SWE,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
TUR,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
USA,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
USMCA,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4,1962-Q1-2024-Q4
ZAF,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4,1960-Q1-2024-Q4
