wc_year,elo_rank,elo_code,team_name,iso3,elo_rating,group_stage_exit,underperformed,fifa_global_rank,fifa_wc_rank,fifa_points,top10_fifa,underperf_fifa,rank_diff,label_differs
1962,1,BR,Brazil,BRA,2104,0,0,NA,NA,NA,0,0,NA,NA
1962,2,SU,Soviet Union,RUS,2032,0,0,NA,NA,NA,0,0,NA,NA
1962,3,YU,Yugoslavia,SRB,1983,0,0,NA,NA,NA,0,0,NA,NA
1962,4,AR,Argentina,ARG,1979,1,1,NA,NA,NA,0,0,NA,NA
1962,5,CS,Czechoslovakia,CZE,1977,0,0,NA,NA,NA,0,0,NA,NA
1962,6,ES,Spain,ESP,1963,1,1,NA,NA,NA,0,0,NA,NA
1962,7,HU,Hungary,HUN,1940,0,0,NA,NA,NA,0,0,NA,NA
1962,8,EN,England,GBR,1923,0,0,NA,NA,NA,0,0,NA,NA
1962,9,UY,Uruguay,URY,1905,1,1,NA,NA,NA,0,0,NA,NA
1962,10,WG,West Germany,DEU,1900,0,0,NA,NA,NA,0,0,NA,NA
1966,1,BR,Brazil,BRA,2010,1,1,NA,NA,NA,0,0,NA,NA
1966,2,SU,Soviet Union,RUS,2003,0,0,NA,NA,NA,0,0,NA,NA
1966,3,EN,England,GBR,1991,0,0,NA,NA,NA,0,0,NA,NA
1966,4,IT,Italy,ITA,1979,1,1,NA,NA,NA,0,0,NA,NA
1966,5,AR,Argentina,ARG,1973,0,0,NA,NA,NA,0,0,NA,NA
1966,6,WG,West Germany,DEU,1959,0,0,NA,NA,NA,0,0,NA,NA
1966,7,HU,Hungary,HUN,1955,0,0,NA,NA,NA,0,0,NA,NA
1966,8,ES,Spain,ESP,1895,1,1,NA,NA,NA,0,0,NA,NA
1966,9,MX,Mexico,MEX,1868,1,1,NA,NA,NA,0,0,NA,NA
1966,10,UY,Uruguay,URY,1848,0,0,NA,NA,NA,0,0,NA,NA
1970,1,EN,England,GBR,2070,0,0,NA,NA,NA,0,0,NA,NA
1970,2,BR,Brazil,BRA,2011,0,0,NA,NA,NA,0,0,NA,NA
1970,3,IT,Italy,ITA,2007,0,0,NA,NA,NA,0,0,NA,NA
1970,4,WG,West Germany,DEU,1998,0,0,NA,NA,NA,0,0,NA,NA
1970,5,CS,Czechoslovakia,CZE,1963,1,1,NA,NA,NA,0,0,NA,NA
1970,6,SU,Soviet Union,RUS,1936,0,0,NA,NA,NA,0,0,NA,NA
1970,7,UY,Uruguay,URY,1867,0,0,NA,NA,NA,0,0,NA,NA
1970,8,SE,Sweden,SWE,1846,1,1,NA,NA,NA,0,0,NA,NA
1970,9,BG,Bulgaria,BGR,1824,1,1,NA,NA,NA,0,0,NA,NA
1970,10,RO,Romania,ROU,1784,1,1,NA,NA,NA,0,0,NA,NA
1974,1,BR,Brazil,BRA,2117,0,0,NA,NA,NA,0,0,NA,NA
1974,2,WG,West Germany,DEU,2112,0,0,NA,NA,NA,0,0,NA,NA
1974,3,IT,Italy,ITA,2002,1,1,NA,NA,NA,0,0,NA,NA
1974,4,PL,Poland,POL,1959,0,0,NA,NA,NA,0,0,NA,NA
1974,5,DD,East Germany,DEU,1940,0,0,NA,NA,NA,0,0,NA,NA
1974,6,YU,Yugoslavia,SRB,1936,0,0,NA,NA,NA,0,0,NA,NA
1974,7,AR,Argentina,ARG,1895,0,0,NA,NA,NA,0,0,NA,NA
1974,8,SE,Sweden,SWE,1888,0,0,NA,NA,NA,0,0,NA,NA
1974,9,NL,Netherlands,NLD,1843,0,0,NA,NA,NA,0,0,NA,NA
1974,10,SQ,Scotland,GBR,1826,1,1,NA,NA,NA,0,0,NA,NA
1978,1,WG,West Germany,DEU,2098,0,0,NA,NA,NA,0,0,NA,NA
1978,2,NL,Netherlands,NLD,2093,0,0,NA,NA,NA,0,0,NA,NA
1978,3,BR,Brazil,BRA,2080,0,0,NA,NA,NA,0,0,NA,NA
1978,4,ES,Spain,ESP,1961,1,1,NA,NA,NA,0,0,NA,NA
1978,5,SQ,Scotland,GBR,1944,1,1,NA,NA,NA,0,0,NA,NA
1978,6,IT,Italy,ITA,1937,0,0,NA,NA,NA,0,0,NA,NA
1978,7,PL,Poland,POL,1928,0,0,NA,NA,NA,0,0,NA,NA
1978,8,AR,Argentina,ARG,1926,0,0,NA,NA,NA,0,0,NA,NA
1978,9,HU,Hungary,HUN,1907,1,1,NA,NA,NA,0,0,NA,NA
1978,10,FR,France,FRA,1891,1,1,NA,NA,NA,0,0,NA,NA
1982,1,WG,West Germany,DEU,2111,0,0,NA,NA,NA,0,0,NA,NA
1982,2,BR,Brazil,BRA,2093,0,0,NA,NA,NA,0,0,NA,NA
1982,3,SU,Soviet Union,RUS,2013,0,0,NA,NA,NA,0,0,NA,NA
1982,4,AR,Argentina,ARG,2005,0,0,NA,NA,NA,0,0,NA,NA
1982,5,EN,England,GBR,1963,0,0,NA,NA,NA,0,0,NA,NA
1982,6,PL,Poland,POL,1958,0,0,NA,NA,NA,0,0,NA,NA
1982,7,AT,Austria,AUT,1919,0,0,NA,NA,NA,0,0,NA,NA
1982,8,YU,Yugoslavia,SRB,1917,1,1,NA,NA,NA,0,0,NA,NA
1982,9,BE,Belgium,BEL,1916,0,0,NA,NA,NA,0,0,NA,NA
1982,10,CS,Czechoslovakia,CZE,1896,1,1,NA,NA,NA,0,0,NA,NA
1986,1,FR,France,FRA,1995,0,0,NA,NA,NA,0,0,NA,NA
1986,2,EN,England,GBR,1990,0,0,NA,NA,NA,0,0,NA,NA
1986,3,WG,West Germany,DEU,1940,0,0,NA,NA,NA,0,0,NA,NA
1986,3,SU,Soviet Union,RUS,1940,0,0,NA,NA,NA,0,0,NA,NA
1986,5,BR,Brazil,BRA,1915,0,0,NA,NA,NA,0,0,NA,NA
1986,6,ES,Spain,ESP,1901,0,0,NA,NA,NA,0,0,NA,NA
1986,7,DK,Denmark,DNK,1893,0,0,NA,NA,NA,0,0,NA,NA
1986,8,HU,Hungary,HUN,1891,1,1,NA,NA,NA,0,0,NA,NA
1986,9,IT,Italy,ITA,1884,0,0,NA,NA,NA,0,0,NA,NA
1986,10,SQ,Scotland,GBR,1874,1,1,NA,NA,NA,0,0,NA,NA
1986,10,AR,Argentina,ARG,1874,0,0,NA,NA,NA,0,0,NA,NA
1990,1,NL,Netherlands,NLD,2033,0,0,NA,NA,NA,0,0,NA,NA
1990,2,WG,West Germany,DEU,1995,0,0,NA,NA,NA,0,0,NA,NA
1990,3,BR,Brazil,BRA,1993,0,0,NA,NA,NA,0,0,NA,NA
1990,4,IT,Italy,ITA,1966,0,0,NA,NA,NA,0,0,NA,NA
1990,5,SE,Sweden,SWE,1952,1,1,NA,NA,NA,0,0,NA,NA
1990,6,EN,England,GBR,1944,0,0,NA,NA,NA,0,0,NA,NA
1990,7,SU,Soviet Union,RUS,1943,1,1,NA,NA,NA,0,0,NA,NA
1990,8,ES,Spain,ESP,1927,0,0,NA,NA,NA,0,0,NA,NA
1990,9,RO,Romania,ROU,1893,0,0,NA,NA,NA,0,0,NA,NA
1990,9,UY,Uruguay,URY,1893,0,0,NA,NA,NA,0,0,NA,NA
1990,9,YU,Yugoslavia,SRB,1893,0,0,NA,NA,NA,0,0,NA,NA
1994,1,DE,Germany,DEU,2010,0,0,2,2,59,1,0,-1,0
1994,2,NL,Netherlands,NLD,1991,0,0,11,10,53,1,0,-8,0
1994,3,IT,Italy,ITA,1987,0,0,16,13,50,0,0,-10,0
