term,l,estimate,se,tval,pval
ln_gdp_l4,NA,-1.38313271906723,0.619021110365816,-2.234386995703354,0.03025147084393311
host,NA,-0.5397152784752792,0.4733993235128018,-1.1400846001857121,0.260027789467161
rel_time_bin::-16:is_finalist,-16,1.0379543588368019,0.397355084294411,2.6121582429979773,0.012041981611183495
rel_time_bin::-15:is_finalist,-15,1.370773060987567,0.7782504876880247,1.7613520102759836,0.08468320911790152
rel_time_bin::-14:is_finalist,-14,1.0727697524077495,0.6734160907752429,1.593026610297902,0.11785815143938998
rel_time_bin::-13:is_finalist,-13,1.0783027040135387,0.6084142029000111,1.7723167849695163,0.08282385096457312
rel_time_bin::-12:is_finalist,-12,0.9765053240759334,0.5613801420706881,1.739472508724709,0.08849766005723939
rel_time_bin::-11:is_finalist,-11,0.9612268959885246,0.5523863102364789,1.7401352607326916,0.08838005122109804
rel_time_bin::-10:is_finalist,-10,1.0413356951297101,0.7452655161117515,1.3972680509392619,0.16889483332086863
rel_time_bin::-9:is_finalist,-9,1.0175042881395444,0.4759306776326159,2.1379254079624266,0.03775305627657548
rel_time_bin::-8:is_finalist,-8,0.48692718978257343,0.4739850906490832,1.0273048654669013,0.30953513016892487
rel_time_bin::-7:is_finalist,-7,0.4672628455596939,0.3567846583540254,1.3096494891774317,0.1966803168413532
rel_time_bin::-6:is_finalist,-6,0.459756371620856,0.3834126119468271,1.1991164539068853,0.23649337397237896
rel_time_bin::-5:is_finalist,-5,0.862521063587652,0.39040945069164373,2.2092730133956087,0.03206524779429065
rel_time_bin::-4:is_finalist,-4,0.7678179765549706,0.5080577849153071,1.511280801814631,0.1374118686154656
rel_time_bin::-3:is_finalist,-3,0.23251060508270635,0.43152040262130587,0.5388171768247845,0.5925561516771272
rel_time_bin::-2:is_finalist,-2,-0.09579444213128549,0.3598543438305787,-0.2662033785991646,0.7912469573747231
rel_time_bin::-1:is_finalist,-1,-0.028516558955403924,0.26341025640249977,-0.10825910632663316,0.9142510169345699
rel_time_bin::1:is_finalist,1,0.2746557524709416,0.23081885317521522,1.1899190585720902,0.24005435899957978
rel_time_bin::2:is_finalist,2,0.3469777524985791,0.2766323270599523,1.2542921363755923,0.21593813507229503
rel_time_bin::3:is_finalist,3,-0.2849058078019243,0.33961131864999006,-0.8389172920810501,0.4057624271116065
rel_time_bin::4:is_finalist,4,-0.005799490513858806,0.3274243242298866,-0.017712460818234594,0.9859432192836384
rel_time_bin::5:is_finalist,5,-0.08411093487260911,0.3844519499961525,-0.21878139745019076,0.8277676158681871
rel_time_bin::6:is_finalist,6,0.23608339765332856,0.29501980323895927,0.8002289848390497,0.4276045599679583
rel_time_bin::7:is_finalist,7,0.31181328478636416,0.4107278200353846,0.7591725458467876,0.45154019870112727
rel_time_bin::8:is_finalist,8,-0.3913044908807146,0.5269757360976519,-0.7425474534717542,0.4614509305725787
rel_time_bin::9:is_finalist,9,-0.5635789510314632,0.5932083455420281,-0.9500522965780398,0.3469456831056634
rel_time_bin::10:is_finalist,10,-0.43737274652070723,0.34448237431753886,-1.269652031942695,0.21045925125809417
rel_time_bin::11:is_finalist,11,0.15258388096763476,0.4379921787547548,0.34837124580955386,0.7291170569364356
rel_time_bin::12:is_finalist,12,0.7439436709788745,0.4923478479943414,1.5110123340834114,0.13748010567286922
rel_time_bin::13:is_finalist,13,0.6929857482528744,0.5854826457877559,1.1836144986338153,0.24251774831681316
rel_time_bin::14:is_finalist,14,0.7354888715370203,0.6119490849606821,1.201879191606726,0.2354312820471933
rel_time_bin::15:is_finalist,15,0.261904473437096,0.6559887397290238,0.39925147731237526,0.6915163569033753
rel_time_bin::16:is_finalist,16,0.2634917551549318,0.2513012245226702,1.0485096348233747,0.29976585987986243
