term,l,estimate,se,tval,pval
ln_gdp_l4,NA,-1.3643833707815223,0.6048346323733776,-2.255795712999547,0.02877774493226643
host,NA,-0.5415218425017917,0.47731535211150816,-1.1345158711243042,0.26233144251396195
rel_time_bin_f-16:is_winner,-16,0.7712326391220187,0.6611852578656384,1.1664395567614778,0.24932148057988698
rel_time_bin_f-15:is_winner,-15,0.499440556844242,0.4724849091092148,1.0570508120266682,0.29589144236606213
rel_time_bin_f-14:is_winner,-14,0.3921357821505161,0.6139398481537337,0.6387201992666931,0.5261054635857942
rel_time_bin_f-13:is_winner,-13,0.3804891118258678,0.437367319695438,0.8699532285375654,0.38874742384959926
rel_time_bin_f-12:is_winner,-12,0.018909584630139826,0.47778857763420307,0.039577305769367056,0.9685977614123795
rel_time_bin_f-11:is_winner,-11,-0.17762618615306536,0.5816504513165586,-0.3053830453513974,0.7614228612236333
rel_time_bin_f-10:is_winner,-10,0.21845652380085806,0.719334973124018,0.30369234357133745,0.7627026843904043
rel_time_bin_f-9:is_winner,-9,0.04320148472449998,0.5727288947234629,0.0754309501799441,0.9401919959495171
rel_time_bin_f-8:is_winner,-8,0.21865579528665027,0.6552851759844718,0.33368036284073016,0.7401049693657704
rel_time_bin_f-7:is_winner,-7,0.3475679343727452,0.547943215191054,0.634313784233202,0.528951565776717
rel_time_bin_f-6:is_winner,-6,0.24973896199889112,0.5672695091436174,0.44024746257896247,0.6617759939727708
rel_time_bin_f-5:is_winner,-5,0.614862158881471,0.5561486588838861,1.105571593241661,0.2745392803425314
rel_time_bin_f-4:is_winner,-4,0.0728393884490317,0.5077992456704663,0.14344130888351192,0.8865549002406006
rel_time_bin_f-3:is_winner,-3,-0.18792493228571863,0.4742289878520888,-0.39627466287305935,0.6936958408792286
rel_time_bin_f-2:is_winner,-2,-0.5116516330357174,0.4466682010383706,-1.1454847957528196,0.2578076928245369
rel_time_bin_f-1:is_winner,-1,0.07109728779810867,0.22340640738735268,0.3182419368789043,0.7517112465427866
rel_time_bin_f0:is_winner,0,NA,0,NA,NA
rel_time_bin_f1:is_winner,1,0.3251463559654585,0.26477282398512686,1.2280201233330617,0.2255539082310749
rel_time_bin_f2:is_winner,2,0.5968107713553775,0.38132883622202735,1.5650816687985447,0.12427268834166176
rel_time_bin_f3:is_winner,3,0.3045478332942667,0.314894115382925,0.9671436156370317,0.3384227757671724
rel_time_bin_f4:is_winner,4,0.28747862890329745,0.31495003521220005,0.9127753508889321,0.36601924906662664
rel_time_bin_f5:is_winner,5,0.0418458788099203,0.3748003787289427,0.11164844323752253,0.9115776171761454
rel_time_bin_f6:is_winner,6,0.18753102056399631,0.40126086328007476,0.4673543764797768,0.642405990584539
rel_time_bin_f7:is_winner,7,-0.04425070532740288,0.6498607138409958,-0.0680925995139166,0.9460007855370427
rel_time_bin_f8:is_winner,8,0.06569341427895255,0.7641977826471613,0.08596389020050839,0.9318602950956123
rel_time_bin_f9:is_winner,9,0.4860384974683951,0.3757120579181592,1.2936462570873042,0.20210928788813826
rel_time_bin_f10:is_winner,10,-0.05120194552592701,0.3886801267942604,-0.13173286205350468,0.8957579063003167
rel_time_bin_f11:is_winner,11,0.10988000505175631,0.4346485895637782,0.25280193629992914,0.8015236917927716
rel_time_bin_f12:is_winner,12,0.21335911778270805,0.47615971400502644,0.4480830937756649,0.656152011916739
rel_time_bin_f13:is_winner,13,-0.4452225971723794,0.5767947578510803,-0.771890852183038,0.44404302462219614
rel_time_bin_f14:is_winner,14,-0.2764147429064315,0.5806872054347048,-0.47601314497622915,0.6362703261211204
rel_time_bin_f15:is_winner,15,-0.37729927662263235,0.6063494962532293,-0.6222472005898412,0.5367865627493276
rel_time_bin_f16:is_winner,16,0.07301211793516955,0.45615004139393417,0.16006162733659782,0.8735184665364503
