rel_time,this_notebook_coef,this_notebook_se,mello_coef,mello_se,difference
-16,0.7520215382299303,0.6868283859680696,0.64,0.673,0.11202153822993033
-15,1.0698411011845597,0.4218409041360237,0.363,0.538,0.7068411011845597
-14,1.1247547456230393,0.5292317227036476,0.276,0.655,0.8487547456230393
-13,0.534069493568943,0.4585383350009125,0.286,0.474,0.24806949356894298
-12,0.039904895255873936,0.49467632085003,-0.082,0.503,0.12190489525587395
-11,-0.1574099282566443,0.6066384974472969,-0.226,0.604,0.06859007174335571
-10,0.24324164587291267,0.7578384093687697,0.074,0.769,0.16924164587291268
-9,0.026257439336893115,0.6106480503953922,-0.139,0.616,0.16525743933689313
-8,0.1963498816391035,0.7005778582916479,0.098,0.695,0.09834988163910349
-7,0.334193471857814,0.590438428758771,0.209,0.57,0.12519347185781401
-6,0.23303088811058398,0.6082901220970265,0.196,0.589,0.03703088811058397
-5,0.592878495250975,0.6030139440528233,0.484,0.621,0.10887849525097504
-4,0.008458357206804372,0.540654599036552,-0.107,0.535,0.11545835720680436
-3,-0.24288634974712123,0.49727458647862566,-0.288,0.479,0.04511365025287875
-2,-0.5701109302498402,0.45483276955336777,-0.605,0.432,0.03488906975015982
-1,0.05943919112735167,0.2366725622342247,0.125,0.206,-0.06556080887264833
0,0.0,0.0,0.0,0.0,0.0
1,0.33296669687928887,0.27581185757327487,0.454,0.246,-0.12103330312071114
2,0.6223947327708377,0.39781501707885725,0.683,0.37,-0.060605267229162374
3,0.34482034056134675,0.3296234969133273,0.233,0.335,0.11182034056134674
4,0.3368358859461529,0.32367763289008317,0.14,0.317,0.19683588594615287
5,0.0757875637778934,0.37490971779885635,-0.189,0.357,0.2647875637778934
6,0.21772443574853134,0.4089886890324346,-0.034,0.422,0.2517244357485313
7,-0.0014063581605546559,0.6589160693269942,-0.288,0.761,0.2865936418394453
8,0.21781437036044565,0.7058588036215514,-0.314,0.985,0.5318143703604457
9,0.5563155198216182,0.39233912661320663,0.418,0.387,0.13831551982161822
10,0.0022688061893883526,0.40408751727696324,-0.145,0.421,0.14726880618938834
11,0.14695969233266046,0.4601091720718553,0.021,0.461,0.12595969233266047
12,0.2627208804690952,0.5136646698919175,0.289,0.583,-0.026279119530904782
13,-0.4662829157583235,0.5999102069245944,-0.593,0.606,0.1267170842416765
14,-0.29772792054500763,0.6013933047769245,-0.32,0.628,0.022272079454992377
15,-0.3761309359147176,0.625153476213824,-0.412,0.676,0.0358690640852824
16,0.07207861050058917,0.47571402423964504,-0.109,0.477,0.18107861050058915
