period,variable,label,w_mean,w_sd,w_n,nw_mean,nw_sd,nw_n,t_stat,p_value,stars
1962-1980,gdp,GDP (millions PPP USD),1316747.8839473685,509619.9842943778,380,547793.3020933014,1253811.0915832152,1672,19.0832225355594,7.725421118114638e-73,***
1962-1980,private_consumption,Private consumption,712067.2039473684,277211.4314445648,380,321809.2056818182,766568.3097512274,1672,16.585289335660597,2.411218327515708e-57,***
1962-1980,government_consumption,Government consumption,284440.6615789474,122365.07667508064,380,114262.85663875598,283602.4406510573,1672,18.19199686807851,1.553154226658685e-66,***
1962-1980,capital_formation,Gross fixed capital formation,295531.40315789473,133576.8385165608,380,113474.12517942584,231735.7693964815,1672,20.47361739537227,9.87135965853227e-78,***
1962-1980,exports,Exports,146067.1655263158,78199.68852241915,380,45050.42266746412,54042.08061537533,1672,23.916844780094557,5.451662020265886e-83,***
1962-1980,imports,Imports,139847.2844736842,74572.01411093489,380,48689.78086124402,61464.55234477527,1672,22.178406615691078,1.715346627089971e-76,***
1962-1980,population,Population,54425280.88421053,13914664.617521035,380,26198650.667464115,46044898.530670024,1672,21.171372436943802,1.418018196710916e-89,***
1962-1980,gdp_yoy_log_4q,GDP growth (d4 log),3.9647874036127666,2.820818300782225,380,4.54507926767274,3.417838605697088,1672,-3.472490753655589,5.494483248655638e-4,***
1962-1980,private_consumption_yoy_log_4q,Private cons. growth (d4 log),4.191450463453331,2.565463840395338,380,4.397119083267182,3.7379877025237582,1672,-1.2835050099531848,0.19969099618917263,
1962-1980,government_consumption_yoy_log_4q,Gov. cons. growth (d4 log),3.7084743663335114,2.088654900906225,380,4.985002574915525,3.701551681608389,1672,-9.100691803603691,4.761783049928765e-19,***
1962-1980,capital_formation_yoy_log_4q,Investment growth (d4 log),3.7370139870433645,6.363549336324166,380,5.210734762026234,10.260931856925804,1672,-3.579189079152474,3.6331442936804735e-4,***
1962-1980,exports_yoy_log_4q,Exports growth (d4 log),7.001490978481086,6.823231553399715,380,7.1228516652005265,9.233003332019036,1672,-0.29135643653137056,0.7708613418336324,
1962-1980,imports_yoy_log_4q,Imports growth (d4 log),7.059975885410652,9.152554867894247,380,6.693209188015029,11.385397965034278,1672,0.6718942503321667,0.5018814065266399,
1962-1980,_counts,Counts,5,NA,380,22,NA,1672,NA,NA,
1980-2000,gdp,GDP (millions PPP USD),2197621.0450121653,736319.9855340718,411,949397.1468104635,2131386.6484204116,2179,21.394423143171878,5.938208024524081e-91,***
1980-2000,private_consumption,Private consumption,1234228.5250608271,407298.4842831498,411,556662.359739656,1343755.551074237,2151,19.217652193581394,4.93515791124091e-76,***
1980-2000,government_consumption,Government consumption,464356.30486618006,155105.64218323943,411,176048.89065550905,385040.9722108735,2151,25.537022662599416,3.3383954917428275e-120,***
1980-2000,capital_formation,Gross fixed capital formation,436783.6423357664,172060.00141648974,411,207534.00478847048,440968.87143308594,2151,17.98757256348937,4.860114001223964e-66,***
1980-2000,exports,Exports,386245.5890510949,176044.63047748446,411,129404.52952115296,165420.49546686438,2151,27.3595946354998,4.190473512807856e-105,***
1980-2000,imports,Imports,354925.1180048662,164518.4895045858,411,128188.84728033472,183856.74556682058,2151,25.104744961545737,1.3452909730498533e-96,***
1980-2000,population,Population,61146606.501216546,22365280.554643407,411,41270295.63744837,100622741.71831477,2179,8.208277113984918,3.525083319719594e-16,***
1980-2000,gdp_yoy_log_4q,GDP growth (d4 log),2.373911318665983,1.7512101329888334,411,3.1508913059644432,3.5486493186955355,2179,-6.752299290851009,2.2952050834144158e-11,***
1980-2000,private_consumption_yoy_log_4q,Private cons. growth (d4 log),2.458200253462294,2.0163064907326183,411,2.924504466687234,4.242269909101946,2151,-3.450940205596885,5.775887005874041e-4,***
1980-2000,government_consumption_yoy_log_4q,Gov. cons. growth (d4 log),2.110272945144286,2.23953884696983,411,2.723425884287613,5.9215132853063714,2151,-3.6317082855566514,0.00029005738471611316,***
1980-2000,capital_formation_yoy_log_4q,Investment growth (d4 log),2.377273431480716,5.418956199924942,411,3.8861189038828123,11.68575710869473,2151,-4.107573348151321,4.253979217181743e-5,***
1980-2000,exports_yoy_log_4q,Exports growth (d4 log),5.603987007292255,5.41018797507812,411,6.536676886546814,8.525757344150632,2151,-2.8782094766706705,0.004099104151384069,***
1980-2000,imports_yoy_log_4q,Imports growth (d4 log),5.519887643938686,6.731249108967505,411,6.007675571993037,11.066765128273179,2151,-1.1929941094676062,0.23318705307999507,
1980-2000,_counts,Counts,6,NA,411,41,NA,2179,NA,NA,
2000-2021,gdp,GDP (millions PPP USD),3125162.748611111,827169.5184291105,504,1385689.6422426153,3062515.551637727,3487,27.342422099747314,2.122733761766815e-146,***
2000-2021,private_consumption,Private consumption,1776504.405357143,420077.0700637979,504,824672.3714244604,2009795.0095434315,3475,24.474350986692343,1.547730415721749e-122,***
2000-2021,government_consumption,Government consumption,656002.3650793651,184087.6206080711,504,229952.67741007195,469008.9963793176,3475,37.289782959692154,2.838781670013051e-222,***
2000-2021,capital_formation,Gross fixed capital formation,606221.9125,180786.2440454276,504,323953.3552805755,669314.6759396913,3475,20.278025249522717,1.594198134769849e-85,***
2000-2021,exports,Exports,861053.8428571429,418560.06049808656,504,323319.21623021585,402429.7394699816,3475,27.08351587084488,1.754506811161534e-108,***
2000-2021,imports,Imports,801107.4577380952,332806.90629104956,504,327981.4553381295,457997.4612866595,3475,28.26833493826209,8.590903241868563e-123,***
