term,l,estimate,se,tval,pval
ln_gdp_l4,NA,-1.2416146515929491,0.6347197247107911,-1.956162071627266,0.05640364146162018
host,NA,-0.5426502848230373,0.46491765518353384,-1.1671965535677866,0.24901872916936516
rel_time_bin::-16:is_semi_finalist,-16,0.40469915385740124,0.4142364266409917,0.9769762575905567,0.3335829377798727
rel_time_bin::-15:is_semi_finalist,-15,0.2800750002779638,0.7189548663736268,0.38955852916143174,0.6986226721524581
rel_time_bin::-14:is_semi_finalist,-14,0.0596783750548692,0.6675050165034248,0.0894051334137996,0.9291398474399163
rel_time_bin::-13:is_semi_finalist,-13,-0.013142315646364533,0.5924335577325596,-0.02218361109837287,0.9823954055515958
rel_time_bin::-12:is_semi_finalist,-12,0.10074814741948887,0.6035327948725203,0.16693069254135418,0.8681407169810824
rel_time_bin::-11:is_semi_finalist,-11,0.10507017066211084,0.6181360426103756,0.16997903927168154,0.8657561849955722
rel_time_bin::-10:is_semi_finalist,-10,0.16830415608063387,0.5759824273228304,0.2922036300012008,0.7714169534857458
rel_time_bin::-9:is_semi_finalist,-9,0.44072116690102076,0.5132954416800816,0.8586111060298608,0.39491294781501896
rel_time_bin::-8:is_semi_finalist,-8,0.3017591777574773,0.39467284875112124,0.7645805347703691,0.44834330668641287
rel_time_bin::-7:is_semi_finalist,-7,0.25490811644753747,0.425490647255099,0.599092172981912,0.5519883598622279
rel_time_bin::-6:is_semi_finalist,-6,0.07174550808538813,0.4333135058946574,0.16557413306851815,0.8692022686682412
rel_time_bin::-5:is_semi_finalist,-5,0.24364715427282135,0.40115406184794594,0.60736554218208,0.5465317269537253
rel_time_bin::-4:is_semi_finalist,-4,-0.030318303922978546,0.5043424179724477,-0.06011452307514384,0.9523193136061526
rel_time_bin::-3:is_semi_finalist,-3,-0.34904864390135254,0.5126805083745729,-0.6808307282989815,0.4993192435609298
rel_time_bin::-2:is_semi_finalist,-2,-0.6502594067304106,0.5034832655253474,-1.2915213895975535,0.20283853181143935
rel_time_bin::-1:is_semi_finalist,-1,-0.341551632659302,0.2958756077118449,-1.1543757706175672,0.25418211053256984
rel_time_bin::1:is_semi_finalist,1,0.19797163525913888,0.17354686235833078,1.1407387755036278,0.25975812390229525
rel_time_bin::2:is_semi_finalist,2,0.4041669218353684,0.20439056958898985,1.9774245095950853,0.053875013039914085
rel_time_bin::3:is_semi_finalist,3,-0.23435953740784354,0.27371401907586856,-0.8562204383944373,0.396220251095302
rel_time_bin::4:is_semi_finalist,4,-0.3098466039321455,0.34634161983049183,-0.8946271143612256,0.3755451736951033
rel_time_bin::5:is_semi_finalist,5,-0.3544956074020406,0.4230082858814324,-0.8380346655937713,0.40625293942808205
rel_time_bin::6:is_semi_finalist,6,-0.10172425288851034,0.4618454444473799,-0.22025604909934374,0.8266256887024843
rel_time_bin::7:is_semi_finalist,7,-0.04988635549830797,0.43197231548323795,-0.11548507557133887,0.9085526529664941
rel_time_bin::8:is_semi_finalist,8,-0.5835958972936395,0.4837461563253115,-1.206409373310205,0.23369727178839378
rel_time_bin::9:is_semi_finalist,9,-0.47700545270467637,0.4483073136253488,-1.0640144343112605,0.29275833786483973
rel_time_bin::10:is_semi_finalist,10,-0.5915837637477943,0.3231778043576668,-1.8305210189901462,0.07351678901712552
rel_time_bin::11:is_semi_finalist,11,-0.23813169897972702,0.3887670445161774,-0.6125305689840125,0.5431392127294725
rel_time_bin::12:is_semi_finalist,12,0.7645327723192552,0.4932328844356968,1.55004420111597,0.12783906816638566
rel_time_bin::13:is_semi_finalist,13,0.4375622683484993,0.4377894874802877,0.9994809854090008,0.3226799286730152
rel_time_bin::14:is_semi_finalist,14,0.573343633254197,0.45893374632636125,1.2492949970309561,0.21774328208618735
rel_time_bin::15:is_semi_finalist,15,0.32693177883694347,0.5061825183068623,0.6458772616851775,0.5214999930367161
rel_time_bin::16:is_semi_finalist,16,0.14776487667419283,0.32647535997474075,0.4526065203990443,0.6529144548638517
