term,l,estimate,se,tval,pval,feature
lag_level,NA,-3.783702677654224,1.4899199414395852,-2.5395342208779006,0.014467173253610044,Government consumption
host,NA,-0.7755548767108583,0.6519810657453132,-1.1895358890894807,0.24020355390771947,Government consumption
rel_time_bin::-16:is_underperformer,-16,0.7163600677443911,0.7720089982865727,0.9279167332690539,0.3581917564375712,Government consumption
rel_time_bin::-15:is_underperformer,-15,0.5941685365495805,0.9458350416656404,0.6281946749437767,0.5329172688143826,Government consumption
rel_time_bin::-14:is_underperformer,-14,0.3704295690743406,0.9470018939562643,0.3911603254844686,0.6974464237367932,Government consumption
rel_time_bin::-13:is_underperformer,-13,0.49920720283280845,0.7778687131591596,0.6417627992844414,0.5241449739263594,Government consumption
rel_time_bin::-12:is_underperformer,-12,-0.2842450796637595,0.820032753838261,-0.34662649550681546,0.7304190783003751,Government consumption
rel_time_bin::-11:is_underperformer,-11,-0.28031312990667356,0.5690385266050737,-0.49260835040299045,0.6245828354016685,Government consumption
rel_time_bin::-10:is_underperformer,-10,0.6470488578520477,0.8230184496381019,0.7861899792605723,0.4357022115050816,Government consumption
rel_time_bin::-9:is_underperformer,-9,0.2166140132948879,0.6706077062938537,0.32301151815271534,0.7481192416928824,Government consumption
rel_time_bin::-8:is_underperformer,-8,0.7607870799695222,0.6312316965510855,1.2052422020730258,0.2341431319748618,Government consumption
rel_time_bin::-7:is_underperformer,-7,-0.0843471576958103,0.7282841527409372,-0.11581627497778878,0.9082915847681531,Government consumption
rel_time_bin::-6:is_underperformer,-6,-0.2783869987998213,0.5313819169047822,-0.5238924960438675,0.6028151816906824,Government consumption
rel_time_bin::-5:is_underperformer,-5,-0.6965396675320514,0.7021416368771314,-0.9920215964260495,0.3262669484722833,Government consumption
rel_time_bin::-4:is_underperformer,-4,-0.9823531548733067,0.6966650859883934,-1.4100794982133968,0.16509999284553611,Government consumption
rel_time_bin::-3:is_underperformer,-3,-0.7793155751123386,0.6353154383525034,-1.2266592751677114,0.2260604548206954,Government consumption
rel_time_bin::-2:is_underperformer,-2,-1.0407171534109343,0.5354600594235803,-1.9435943635670236,0.057945688606545705,Government consumption
rel_time_bin::-1:is_underperformer,-1,-0.2184367273641521,0.2909035759665967,-0.75089048540687,0.45646178498533674,Government consumption
rel_time_bin::1:is_underperformer,1,-0.055375882217611166,0.3205711585492587,-0.17274131106558094,0.8635965198572815,Government consumption
rel_time_bin::2:is_underperformer,2,-0.07538591750768042,0.417342668182567,-0.1806331421514341,0.8574321894597798,Government consumption
rel_time_bin::3:is_underperformer,3,-0.19024286002046117,0.6900089265373799,-0.2757107230121539,0.7839788908469598,Government consumption
rel_time_bin::4:is_underperformer,4,-0.49686633055532226,0.7655454673237838,-0.6490356899274475,0.5194744179874422,Government consumption
rel_time_bin::5:is_underperformer,5,-0.6076589698981597,0.7421047153429796,-0.8188318404867123,0.4170149791575717,Government consumption
rel_time_bin::6:is_underperformer,6,0.3557167101607184,0.5668238599298699,0.6275612854489387,0.5333286440184957,Government consumption
rel_time_bin::7:is_underperformer,7,0.009881085660526825,0.4051886572315059,0.02438638269896394,0.9806476556027419,Government consumption
rel_time_bin::8:is_underperformer,8,0.241441270413851,0.5720825282726569,0.4220392311977391,0.6749207093077099,Government consumption
rel_time_bin::9:is_underperformer,9,0.6963146499434948,0.7359968835070798,0.9460836934872655,0.34894470723110627,Government consumption
rel_time_bin::10:is_underperformer,10,-0.14688931609671804,0.5950561112913905,-0.24684952109463917,0.8060997422273932,Government consumption
rel_time_bin::11:is_underperformer,11,-0.24184332760595786,0.7370937157766152,-0.3281039065041375,0.7442903501113043,Government consumption
rel_time_bin::12:is_underperformer,12,-0.05683760664167292,0.7257528205071155,-0.07831537823298844,0.9379096615908694,Government consumption
rel_time_bin::13:is_underperformer,13,-0.7047078260553539,0.7374104381342454,-0.9556520895450925,0.3441378355491491,Government consumption
rel_time_bin::14:is_underperformer,14,-0.6566554645836931,0.7696081314151433,-0.8532335324683296,0.39785738397150394,Government consumption
rel_time_bin::15:is_underperformer,15,-0.3947137906203374,0.7319273719398568,-0.5392799965578708,0.5922393403495592,Government consumption
rel_time_bin::16:is_underperformer,16,-0.15200051558107183,0.7037756411677434,-0.21597865383471385,0.8299390129213945,Government consumption
