term,l,estimate,se,tval,pval,feature
lag_level,NA,-2.7762214281253437,0.7189790554142634,-3.8613383897890214,3.436333326874453e-4,Private consumption
host,NA,-0.022651459472062263,0.8089511834759666,-0.02800102148899968,0.9777798965029955,Private consumption
rel_time_bin::-16:is_underperformer,-16,-0.4582330258331318,0.5022865794933273,-0.9122939862246892,0.36626988953628525,Private consumption
rel_time_bin::-15:is_underperformer,-15,-0.28301724487847024,0.761825571935088,-0.37149874630696295,0.7119356310312448,Private consumption
rel_time_bin::-14:is_underperformer,-14,-0.4450322914244063,0.8399593473482136,-0.5298259883997858,0.5987266928460182,Private consumption
rel_time_bin::-13:is_underperformer,-13,-0.7414919722664058,0.8979537115092446,-0.8257574558271337,0.4131137221696387,Private consumption
rel_time_bin::-12:is_underperformer,-12,-1.233138935665969,1.0244101769167122,-1.2037550616467831,0.2347121214654891,Private consumption
rel_time_bin::-11:is_underperformer,-11,-1.0040959058246504,0.7810941735023448,-1.2854991624407965,0.2049160766618476,Private consumption
rel_time_bin::-10:is_underperformer,-10,-0.9170591758275236,0.6740465210266259,-1.360528015827113,0.18015224359491125,Private consumption
rel_time_bin::-9:is_underperformer,-9,-0.6761378710552799,0.7448994152034825,-0.907690162262486,0.3686726222612755,Private consumption
rel_time_bin::-8:is_underperformer,-8,-0.6909043088615506,0.6955521421069758,-0.9933177788348895,0.32564173618461545,Private consumption
rel_time_bin::-7:is_underperformer,-7,-1.1723865685513986,0.6473430323760642,-1.8110746697128552,0.07652306759396547,Private consumption
rel_time_bin::-6:is_underperformer,-6,-0.9832159571367698,0.624775569255829,-1.5737106338967122,0.12226263479873833,Private consumption
rel_time_bin::-5:is_underperformer,-5,-0.9776450217338248,0.5309498884931478,-1.8413131689478486,0.07189183080531762,Private consumption
rel_time_bin::-4:is_underperformer,-4,-0.8406735937592573,0.4359280979520338,-1.9284684738347806,0.059849444111367577,Private consumption
rel_time_bin::-3:is_underperformer,-3,-0.8718721102873064,0.45183016901655937,-1.9296456281018115,0.05969938887338102,Private consumption
rel_time_bin::-2:is_underperformer,-2,-0.49334213357921697,0.3202537551208682,-1.5404725961543304,0.1301516041395674,Private consumption
rel_time_bin::-1:is_underperformer,-1,-0.041240023493375154,0.21921397856338953,-0.18812679630943283,0.8515871650123383,Private consumption
rel_time_bin::1:is_underperformer,1,0.2211935410077256,0.2211283665773816,1.0002947357290823,0.3222902300027296,Private consumption
rel_time_bin::2:is_underperformer,2,0.19660751441276128,0.3109322189029065,0.6323163135247656,0.5302443906313731,Private consumption
rel_time_bin::3:is_underperformer,3,-0.25897325093906803,0.4977149421762979,-0.5203244447648829,0.605279986506853,Private consumption
rel_time_bin::4:is_underperformer,4,0.07165489106613107,0.5142986581464047,0.13932544822182516,0.8897882932308154,Private consumption
rel_time_bin::5:is_underperformer,5,0.03721499400867803,0.5014117466758264,0.07422042713478416,0.9411499873652398,Private consumption
rel_time_bin::6:is_underperformer,6,-0.656394663713934,0.42202469168152124,-1.5553465867093834,0.1265722559926573,Private consumption
rel_time_bin::7:is_underperformer,7,-0.46470891521414587,0.49580417155913636,-0.9372831893543646,0.35340448920010836,Private consumption
rel_time_bin::8:is_underperformer,8,-0.8706779310702464,0.4357314919370283,-1.9981983106148231,0.051499430352986986,Private consumption
rel_time_bin::9:is_underperformer,9,-0.8796532393188937,0.6293244258920415,-1.3977738716752037,0.16874373553826427,Private consumption
rel_time_bin::10:is_underperformer,10,-0.913474857780795,0.5902701708776119,-1.547553820012018,0.12843755651629227,Private consumption
rel_time_bin::11:is_underperformer,11,-1.020366353743976,0.5845787329525247,-1.7454729298659635,0.08743758711382957,Private consumption
rel_time_bin::12:is_underperformer,12,-0.8368319231019299,0.596980906817099,-1.4017733457567942,0.16755270460725485,Private consumption
rel_time_bin::13:is_underperformer,13,-1.3198816553369952,0.4079462066355771,-3.2354306373439576,0.0022268343329752654,Private consumption
rel_time_bin::14:is_underperformer,14,-1.1859139657344853,0.3533070289182707,-3.3566101681175966,0.0015699385082067394,Private consumption
rel_time_bin::15:is_underperformer,15,-0.7506522744012233,0.5040111771334024,-1.4893564040992282,0.14307381009504447,Private consumption
rel_time_bin::16:is_underperformer,16,-0.7451760037244617,0.5200263430596441,-1.432958183118416,0.15848836988462664,Private consumption
